,id,rank,Country,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalTests,Population,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
0,f6ecf8d7-5867-42dc-9290-24fda4cb14f0,2,India,3.13,1.2,62.15,98.48,875207621,1408125137,374,698,621541,31261
1,bc4902f3-885b-4666-bbae-a159b53c831b,8,S. Korea,38.5,0.13,30.77,93.94,15804065,51360608,488,284,307708,385043
2,a30588f4-4e4b-4e3b-92b2-1baeb341682e,10,Turkey,18.43,0.63,188.75,97.47,162743369,86220072,1152,975,1887535,184290
3,905d7fab-0083-4209-8a10-61f8b3e74994,12,Japan,9.99,0.26,49.85,85.28,62646891,125674391,259,427,498486,99885
4,de1a2462-a817-4b62-839f-9c0f5f717eda,13,Vietnam,10.87,0.4,86.56,91.9,85826548,99153789,435,42,865590,108701
5,fa5c2b0a-f283-406a-9d80-2ec4c1309a62,17,Iran,8.56,1.92,61.59,95.91,53103026,86221264,1646,1198,615892,85609
6,2ff2436f-a569-44bf-ba29-083ad4f81f70,20,Indonesia,2.22,2.53,37.05,96.68,103563868,279518444,562,2771,370508,22191
7,e104cdc2-f1cc-45de-a101-fc1d50310e23,26,Malaysia,14.08,0.77,187.91,98.23,62434219,33225524,1082,62,1879104,140773
8,b012c316-0e20-4bfe-9ce2-edf9dcca2f0b,27,Thailand,6.54,0.68,24.62,98.81,17270775,70162911,447,1496,246152,65422
9,0a14bd04-b96e-4afb-b4bf-8a4657740ccd,28,Taiwan,19.19,0.19,95.13,89.19,22742284,23906098,373,0,951317,191925
10,d16f103a-0088-436d-bac6-0a29535520f9,29,Israel,49.09,0.25,443.63,98.8,41373364,9326000,1218,310,4436346,490940
11,f0e6ea86-a22d-405c-a0c7-63dbb2a2c03f,38,Philippines,3.35,1.61,27.95,97.5,31470492,112604142,539,688,279479,33502
12,7d322f05-e02b-40f5-bd69-577adea222a3,42,Iraq,5.81,1.04,45.3,97.71,19066348,42093328,601,28,452954,58056
13,c41513ff-6514-470a-b9f1-ff13a051cad2,44,Bangladesh,1.19,1.46,8.69,96.84,14602917,168090083,174,1228,86876,11927
14,802162af-bec2-4b62-849e-4ecbf1d9c380,47,Jordan,16.42,0.82,163.08,98.95,16981984,10413073,1352,124,1630833,164205
15,f7c6cb29-752b-4f13-b419-813680ad7e12,48,Singapore,28.74,0.09,408.12,94.33,24265502,5945701,252,15,4081184,287426
16,81672076-33c2-48e4-81d2-db6ce456cc78,49,Georgia,42.16,1.01,425.84,97.73,16920079,3973303,4242,0,4258442,421630
17,935ff8a6-77f1-4114-9403-9cbb7fa9cb99,52,Pakistan,0.68,1.96,12.86,97.42,29553485,229782639,133,171,128615,6765
18,d1fc1231-ca5a-4f3c-b4cb-4770cdf15a98,54,Kazakhstan,7.02,1.01,60.15,97.06,11575012,19242226,710,24,601542,70168
19,5de37feb-3a9b-42d2-8c09-345c543829a7,55,Hong Kong,17.7,0.7,713.0,90.76,54352132,7623040,1246,9,7129981,177011
20,49bd08ef-9b3b-49c0-b8e6-fa7816ff0700,59,Lebanon,17.34,0.9,70.92,92.78,4795578,6762132,1557,186,709181,173358
21,5d7de038-91f5-4150-b3f0-ecb490d78997,69,UAE,9.77,0.24,1747.46,97.88,177159339,10138085,230,0,17474635,97691
22,6743d550-56b6-4a61-9ef4-67cd895e11ef,70,Nepal,3.26,1.21,19.24,98.34,5813930,30223043,396,0,192367,32627
23,75989859-6f57-4c6a-82de-9134e3698840,74,Mongolia,27.86,0.23,118.96,0.0,4030048,3387716,643,192,1189606,278562
24,8322c6dd-f9f8-4061-bf31-a64e1ba32344,76,Saudi Arabia,2.25,1.14,122.09,98.2,43876848,35937664,257,127,1220915,22524
25,0945c7b4-d129-4deb-9c5e-803aa859e387,77,Azerbaijan,7.73,1.22,68.18,98.49,7042298,10328590,944,0,681826,77300
26,79b25104-b717-4a88-a9f8-deb868ddf519,79,Sri Lanka,3.08,2.49,30.03,97.37,6486117,21599307,767,0,300293,30817
27,0d159598-c97e-485c-a17b-a34a82ae29bd,80,Bahrain,36.14,0.23,557.36,98.98,10167293,1824173,827,13,5573645,361382
28,d6f78add-5ba5-4a09-9207-f7ec95db5e61,81,Kuwait,14.85,0.39,188.18,99.06,8282574,4401480,581,5,1881770,148525
29,656a97f0-ebc6-49bd-8aca-ba2b36ef2e5f,83,Myanmar,1.11,3.16,15.47,96.55,8531707,55165745,352,0,154656,11132
30,d4008e11-6975-4ea6-a9d0-aa571c2604aa,84,Palestine,11.18,0.9,57.57,97.79,3078533,5347217,1004,17,575726,111837
31,f2bd16b1-2a21-42c3-ba7a-62e372619ba6,86,Cyprus,45.93,0.2,781.05,22.09,9572310,1225574,910,60,7810471,459304
32,f281c4d9-4a39-44d4-baa9-8deb858d73cb,94,Armenia,14.3,2.03,104.55,97.01,3109931,2974719,2902,0,1045454,142993
33,d7b5b1f3-7613-497f-ad47-659c3e7b274f,95,Qatar,14.52,0.17,133.47,98.06,3747568,2807805,243,2,1334697,145220
34,0c7482a0-3655-48e5-a002-ea7e84e9a5e0,96,Oman,7.36,1.08,465.05,97.2,25000000,5375821,792,2,4650452,73614
35,c0e96d03-21df-42c0-a932-ec088d305cba,108,Uzbekistan,0.71,0.67,4.0,98.82,1377915,34474604,47,23,39969,7051
36,eb9b3fbc-6738-4a35-a943-42a0e05ea149,230,China,0.02,2.28,11.12,96.97,160000000,1439323776,4,5,111163,159
37,a07df09d-690a-4ca7-8d76-0b01a071ea51,111,Laos,2.82,0.36,16.46,0.0,1233207,7494390,101,0,164551,28186
38,c784559e-003a-490b-9753-4b23ee5fdb39,112,Brunei,46.15,0.11,160.88,79.71,717784,446161,504,3,1608800,461470
39,a173c7c0-6c68-4505-a21e-303b977f4432,114,Kyrgyzstan,2.98,1.49,28.27,97.55,1907195,6747304,443,131,282660,29838
40,a22a19dd-cd37-4b17-bb78-214d939dcba6,116,Afghanistan,0.46,4.17,2.52,89.72,1027770,40745530,190,1124,25224,4554
41,3aae6f72-2cd7-423d-9e01-c89c936d9d98,117,Maldives,32.89,0.17,395.13,88.81,2213831,560277,548,25,3951315,328948
42,f01f73fb-71ea-4624-b07e-e86ac91bc8aa,124,Cambodia,0.8,2.23,17.55,97.61,3018468,17198558,178,0,175507,7954
43,bf5fe94d-de57-4ff8-b174-c1238e097c6c,147,Bhutan,7.65,0.03,291.9,99.74,2303734,789218,27,0,2919008,76491
44,86c418c9-9bad-4c05-90a0-31f87650ee52,148,Syria,0.31,5.6,0.8,93.88,146269,18381842,171,0,7957,3061
45,3bf85af0-0824-456e-b402-e67770e0d954,172,Timor-Leste,1.68,0.58,19.84,99.37,271855,1370495,97,0,198363,16768
46,ade1dd49-6935-41ea-9387-173c6fabbdf2,180,Tajikistan,0.18,0.7,0.0,97.07,0,9981671,13,0,0,1782
47,7571007a-00f6-4500-bb60-f4fefbd4e388,192,Yemen,0.04,18.11,0.85,76.76,265253,31187533,69,23,8505,381
48,4f5de98a-49e3-4394-9534-b4b0c800ff96,220,Macao,0.12,0.76,1.18,84.2,7850,667682,9,0,11757,1185
