,Sentiment,Tweet
0,negative,tolol hubung gugur dengan pakai hijab syar bilang bayi panas dalem hubung woyyyy otak jempol singkron nulis komentar
1,negative,geblek tata cowo dibela2in balik hadeww nanti tinggal nyalahin tuh cowo kitenya oon
2,negative,kemarin termewek2 sekarang lengket duhhh labil kya abege ajah atau kemarin cari sensasi biar top markotoppp ertong gk kualitas
3,negative,inti kesel att gausah anak kasi kembang psikis anak depan benar benar tolol skrg anda anak anak dikatain benci bagaimana asa benci tahu batesnya nama manusia gaakan suka haters
4,negative,hadewwwww permpuan sakit jiwa kenapa jadi peran utama hantu jeruk purut seperti khabis stok artis
5,negative,pantesan tinggalin laki laki mikir kali perempuan kayagni urus becus bagaimana urus anak lebih baik anak bapake benar didik
6,negative,biasa balajaer nyampah di ig artis suka2 ig caption balajaer heboh asik ceramahin ig sebentar lama2 di bikinin lagu sm kakak perempuan melly loh balajaer judul balajaer sabda seonggak koin laknat balajaer ngamuk iya koin laknat jadi goda di rt gigi aduh elah balajaer smua tahu kale laku biduan seperti apa minus segala2nya di bela mati2an pada sakit jiwa
7,negative,karena rakyat indonesia bodoh tidak beda buruk sudah tahu prilaku buruk tidak tahu sopan santun pilih jadi panutan idola murah dr pada kelas ber etika
8,negative,ayu janda bego pny suami kapan nikah
9,negative,anyiennnnggg suara hancur merdu tukang goreng
10,negative,syarat sah nikah agama islam 5 cpp cpw saksi wali nikah mas kawin mahar perkara makeup manglingi syarat sah nikah makeup syarat 5 penuh nikah sah yak emak emak julids
11,negative,cewek gatau ini ngerebut pacar udh abang ngedukung sifat jelek ck
12,negative,eh situ kids jaman now banyak micin mna ngina bego pelihara
13,negative,jijik liat suer deh minceeee
14,negative,emang tabu cium gitu iya emang eneg citra sok alim sok sok bijak sok sok lai anda citra sok alim sok suci serius
15,negative,jadi 1 cium dpn banyak mantri hutan dan lurah mungkin mabok jadi mantri hutan dan lurah 2 teman helooow teman tidak libat cium bibir coba bayangin sanggup cium bibir sama teman lbh dr teman dasar laku kids jaman now emg bego karena banyak micin lho yah
16,negative,anjing ngamuk hidup dmana2 pny musuh udh kliatan mna pny banyak musuh
17,negative,ahhh jaga ucap lahh ucap ngk jaga dasar munafik dasar betina zaman now ellu kali yangg lebih micin otak selangkang paham moga tuhan ampunin munafik cun
18,negative,yaa ampun upil naruto kata2nya cermin perek culun alam yaa kasihan prihatin mati deh ngotorin dunia manusia
19,negative,cuman jual goyang yak suara tahi
20,negative,kasi ih cari uang sampai segitunya
21,negative,anjing tonton mutu
22,negative,dulu inul goyang ngebor baju ketat dcekal harus ny ini juga dengan sgja goyang dada melulu suara sbrpa mrsk moral anak muda nnton bawa nafsu
23,negative,pnyanyi dangdut kelas bgini ini ya nonjolin suara nonjolin dada
24,negative,najis najis udh homo kaya gin musnah muka bumi
25,negative,haduuh akhlak bangeg asa kerja antem melulu musuh
26,negative,lonte bukan sensasi ngjak ribut melulu sampah
27,negative,kayak banci dh nenek2 pny cucu now watching operasi mua top ttp asli ny cantik dalam
28,negative,bagus mingkem hahahahahaha jahat akuuu
29,negative,oplas permak tetep jelek pokok muka tegang seperti banci sudah sekian
30,negative,lebih baik lihat adik molen biarpun cowok tapi cuantik kaya cewek tapi kayak banci wkwkwk
31,negative,banci rombeng jijik gay juga
32,negative,gila ken hitz cri tenar rela penjara cari sensasi settingan beken smpe hina2 astagfirullah kaya kaya mulut seperti sampah sekolah
33,negative,cowok anjing cuihhh kaya koar ping kaya dunia tahu kaya kaya malahn perilaku sederhana pamer kaya dunia akhirat mampus harta tidak bawa mati pants buang laut anehhh
34,negative,cari sensasi tenar trus banya folowers begitu begitu juga kalee darar tres bicara belepotan gk begitu kamfungan
35,negative,bicara belepotan gaya banci
36,negative,banyak makan tahi gin otak sudah penuh tahi jadi berfikir positif bicara moral dasar kaum2 laknat banci anjing kbanyakan burit jadi stres manusia tidak mau jumpa anjing anjing ketemu tahi
