,title,url,description
0,"MEDIA POLITIK INDONESIA on Instagram: ""Jakarta, tvOnenews.com - Ganjar ...",https://www.instagram.com/p/CrcZqSRJoVx/,"115 likes, 15 comments - MEDIA POLITIK INDONESIA (@politikmedia) on Instagram: ""Jakarta, tvOnenews.com - Ganjar Pranowo resmi ditunjuk sebagai capres oleh PDI Perjuangan. Peg..."" MEDIA POLITIK INDONESIA on Instagram: ""Jakarta, tvOnenews.com - Ganjar Pranowo resmi ditunjuk sebagai capres oleh PDI Perjuangan.",
1,"tempoupdate | Indonesia on Instagram: ""Tokoh bermunculan jelang pilpres ...",https://www.instagram.com/p/CfdV-SiP5eh/,"@ganjar_pranowo @prab..."" tempoupdate | Indonesia on Instagram: ""Tokoh bermunculan jelang pilpres, ada lagi gak bakal calon Presiden 2024? @ganjar_pranowo @prabowo @aniesbaswedan @ridwankamil @agusyudhoyono @sandiuno #bicarapolitik #politikindonesia #politik #infopolitik #tempoupdate #politikindonesia""",
2,Pemimpin.id (@pemimpin.indonesia) • Instagram photos and videos,https://www.instagram.com/pemimpin.indonesia/,"386K Followers, 1,154 Following, 3,000 Posts - See Instagram photos and videos from Pemimpin.id (@pemimpin.indonesia)",
3,"Asiabusinessinfo.com on Instagram: ""@ganjar_pranowo Jadi Capres ...",https://www.instagram.com/p/CrTJPRvL3_l/,"4 likes, 0 comments - Asiabusinessinfo.com (@abimagazine) on Instagram: ""@ganjar_pranowo Jadi Capres @pdiperjuangan , @jokowi : Ganjar Pemimpin yang Dekat dengan Rakyat ...",
4,"INFO GIANYAR DAN BALI on Instagram: ""Ganjar Pranowo, calon presiden ...",https://www.instagram.com/p/CrVCo-nPLTQ/,"404 likes, 2 comments - INFO GIANYAR DAN BALI (@gianyarinfo_) on Instagram: ""Ganjar Pranowo, calon presiden (capres) yang diusung PDIP sekaligus Gubernur Jawa Tengah, menyata ...",
5,"Ganjar Pranowo Bisa on Instagram: ""Pembubaran salah satu kelompok ...",https://www.instagram.com/p/CodZ2JESwUf/,"February 9, 2023 - 358 likes, 17 comments - Ganjar Pranowo Bisa (@ganjarpranowobisa) on Instagram: ""Pembubaran salah satu kelompok pendukung Ganjar Pranowo dinilai tidak mempengaruhi popularitasnya ...",
6,"RUMAH KITA JATIM on Instagram: ""GANJAR SUDAH PASTI CAPRES ! Rabu, 5 ...",https://www.instagram.com/p/Cq5Qix4JiYW/,"Rabu, 5 April 2023, salah satu orang dekat Ganjar Pranowo mendapat ..."" RUMAH KITA JATIM 🇮🇩 on Instagram: ""GANJAR SUDAH PASTI CAPRES ! Rabu, 5 April 2023, salah satu orang dekat Ganjar Pranowo mendapat kabar mengejutkan: Ganjar mengantongi restu partai untuk melaju ke Pilpres 2024 dan bakal dideklarasikan sebagai calon presiden.",
7,"Ganjar Bersama Indonesia on Instagram: ""Ganjar Pranowo, Prabowo ...",https://www.instagram.com/p/CqPOiX0rNmv/,"83 Likes, 4 Comments - Ganjar Bersama Indonesia (@ganjarbersamaindonesia) on Instagram: ""Ganjar Pranowo, Prabowo Subianto dan Anies Baswedan mendominasi 3 top of mind survei figure bakal..."" Ganjar Bersama Indonesia on Instagram: ""Ganjar Pranowo, Prabowo Subianto dan Anies Baswedan mendominasi 3 top of mind survei figure bakal calon presiden ...",
8,"Relawan Sahabat Ganjar Indonesia on Instagram: ""Mulailah dengan ...",https://www.instagram.com/p/CYAcDFQlYGz/,"659 likes, 14 comments - Relawan Sahabat Ganjar Indonesia (@ganjar_pranowofans) on Instagram: ""Mulailah dengan pertunjukan kejujuran ___ Kembangkan sayap relawan dukung Pak Ganjar ...",
9,"Ganjarist | Relawan Ganjar Pranowo on Instagram: ""Konsisten! Survei ...",https://www.instagram.com/p/CqUMKBYpfh6/,"23 Likes, 0 Comments - Ganjarist | Relawan Ganjar Pranowo (@ganjarist.relawanganjar) on Instagram: ""Konsisten! Survei Indikator Politik: Ganjar Pranowo Sosok Capres ...",
